month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202203,oklahoma,ok,240000,0,0.0573,4425,-0.0447,-0.1366,48,-0.2017,-0.1364,5120,0.3516,0.0875,268,-0.4322,-0.4553,964,0.1587,-0.1268,6754,0.4484,-0.1255,133,0.0168,0.1446,1820,0.0105,-0.0471,376173,0.0168,0.102,11180,0.2028,-0.1339,1.5263,0.5196,0.0194,0
202203,illinois,il,275450,0.0806,-0.0056,15817,-0.006,-0.2744,39,-0.2353,-0.22,17680,0.224,-0.1192,612,0.0479,-0.1947,3484,0.0901,-0.2808,22429,0.1354,-0.1865,168,0.0469,0.047,1568,0.0252,-0.0315,438497,0.0492,-0.018,38246,0.0723,-0.2256,1.418,0.1767,0.1532,0
202203,south carolina,sc,330708,0.0137,0.1823,6580,-0.013,-0.3474,35,-0.1954,-0.3137,8628,0.0558,-0.0678,1972,-0.0887,-0.3191,1464,0.0427,-0.2359,14565,0.0384,-0.0918,172,0.0266,0.1257,1975,-0.0028,0.067,533525,0.0199,0.1481,21092,0.022,-0.1893,2.2135,0.1096,0.623,0
202203,florida,fl,449950,0.0367,0.2766,36544,-0.0054,-0.3698,37,-0.0976,-0.3393,44760,0.0429,-0.0357,4752,-0.0697,-0.2428,8728,0.1551,-0.2347,75189,0.0168,-0.1129,270,0.0343,0.2234,1661,0.0097,0.0509,1073089,0.0333,0.3158,111729,0.0094,-0.2173,2.0575,0.0448,0.5959,0
202203,minnesota,mn,368785,0.0435,0.1358,5837,0.0493,-0.2125,35,-0.1566,-0.1026,7892,0.2997,-0.0286,528,-0.12,-0.12,968,0.2284,-0.1626,9503,0.1634,-0.0073,173,0.0289,0.0098,2151,0.0061,0.1439,481055,0.0367,0.1034,15341,0.1166,-0.0968,1.6281,0.1598,0.3365,0
202203,south dakota,sd,324900,0.039,0.2999,1475,0.0878,-0.1518,36,-0.1647,-0.2022,900,0.1194,-0.1445,24,-0.5714,-0.5385,100,-0.0741,-0.1935,543,-0.0216,-0.2612,179,-0.0034,0.2626,1789,0.0353,0.0073,432021,0.0324,0.3686,2024,0.0591,-0.1826,0.3681,-0.0412,-0.0545,0
202203,kentucky,ky,252450,0.0315,0.0632,4237,-0.0733,-0.1334,49,-0.1552,-0.1404,4992,0.2164,-0.0142,368,0.4154,-0.193,1136,0.0758,-0.0274,7396,0.1047,-0.0671,140,0.022,0.152,1788,0.0188,-0.0413,358744,0.0409,0.0876,11585,0.0282,-0.098,1.7456,0.2812,0.124,0
202203,washington,wa,609950,0.0383,0.1618,4832,0.1203,-0.1136,28,-0.1111,-0.1642,9636,0.1985,-0.1186,1024,0.2075,-0.2536,1140,0.3443,-0.0717,11263,0.1065,-0.1637,324,0.0372,0.1095,1906,0.0032,0.0473,860344,0.0363,0.1201,16095,0.11,-0.1471,2.3309,-0.0292,-0.1396,0
202203,pennsylvania,pa,274900,0.0575,0.0053,13508,0.0145,-0.0832,46,-0.3,-0.1875,13836,0.2492,0.0378,1400,0.0355,-0.1822,3640,0.1607,0.0508,18548,0.1027,-0.0396,166,0.0357,0.0663,1678,0.0078,-0.0425,415597,0.0345,-0.0178,32007,0.0621,-0.0599,1.3731,0.1098,0.0623,0
202203,oregon,or,543975,0.0194,0.1346,4695,0.0788,0.0258,34,-0.1299,-0.1299,6492,0.1651,-0.0043,2424,0.4259,0.0466,1988,0.1194,0.127,8660,0.0701,-0.047,306,0.028,0.1645,1818,-8.00E-04,-0.0141,745440,-0.0013,0.123,13387,0.0758,-0.0209,1.8445,-0.0151,-0.1408,0
202203,new mexico,nm,325000,0.0036,0.1775,2786,0.0022,-0.2565,50,-0.2188,-0.1304,2248,0.124,-0.138,276,-0.1687,0.4681,448,0.1789,-0.2956,2654,0.0633,-0.2424,165,0.0172,0.1623,1969,-0.0091,0.0028,511187,0.0067,0.1611,5460,0.0357,-0.2463,0.9526,0.0548,0.0177,0
202203,rhode island,ri,425000,-0.0171,0.0817,755,0.0134,-0.2712,36,-0.2111,-0.1932,1176,0.3611,-0.1302,32,0.1429,0.3333,112,0.12,-0.2632,1775,0.0423,-0.1678,293,9.00E-04,0.1277,1522,-0.0187,-0.0206,773417,-0.0332,-0.0635,2533,0.0343,-0.206,2.351,0.0651,0.2921,0
202203,indiana,in,249950,0.0119,0.1468,5307,-0.0187,-0.051,37,-0.2396,-0.2316,7884,0.472,0.2296,492,0.5375,-0.0821,1720,0.2321,0.2286,8418,0.52,0.3409,135,0.0188,0.1542,1820,0.0108,0.0078,339420,0.0324,0.1202,13724,0.2537,0.1527,1.5862,0.5622,0.4635,0
202203,iowa,ia,263700,0.0655,0.1721,5063,-0.0053,-0.254,52,-0.218,-0.037,4240,0.2184,-0.1276,592,0.035,-0.1957,1140,0.0755,-0.2039,6290,0.1039,-0.1093,160,0.0364,0.1828,1573,0.0109,0.001,302266,0.0334,0.1531,11348,0.0519,-0.183,1.2423,0.1229,0.2018,0
202203,arkansas,ar,236250,0.05,0.1815,4376,-0.0166,-0.1362,48,-0.2339,-0.252,3840,0.2229,0.1307,192,0.2632,-0.2,888,0.099,0.1684,5326,0.0547,0.3183,125,0.0476,0.1664,1837,-0.0024,-0.0216,363775,0.0469,0.2005,9695,0.0201,0.063,1.2171,0.0823,0.4196,0
202203,california,ca,734950,0.0482,-0.0188,27227,0.1069,-0.0946,27,-0.069,-0.1148,38428,0.0852,-0.0366,3188,0.2003,-0.005,5576,0.2604,-0.0292,40841,0.0905,-0.1586,443,0.0283,-0.0096,1747,0.0122,-0.0281,1539815,-0.0096,-0.0679,68068,0.0958,-0.1352,1.5,-0.0225,-0.1141,0
202203,idaho,id,597450,0.0174,0.2094,2462,0.1252,0.352,31,-0.1948,0.0877,3384,0.2571,0.0562,448,0.1313,0.2727,692,0.5727,0.6796,4607,0.0418,0.0581,292,0.0157,0.1793,2192,0.0092,0.0193,955674,0.0201,0.0446,7069,0.0724,0.1446,1.8712,-0.1498,-0.5198,1
202203,texas,tx,351640,0.0267,0.1417,34157,-0.015,-0.142,38,-0.1379,-0.25,37148,0.1295,-0.0066,5132,-0.2134,-0.324,8252,0.148,-0.0172,50867,0.0557,-0.0661,176,0.0256,0.1737,2005,0.0028,-0.03,525599,0.0377,0.1119,84969,0.0286,-0.0987,1.4892,0.0997,0.121,0
